t,initial_BPD_ec_conc,initial_BPD_ic_conc,degradation,Ternary,all_Ternary,Dmax,total_target,total_target_ub,total_naked_ternary,total_ternary,total_bpd_ic,PROTAC,Kd_T_binary,kon_T_binary,kub,kde_ub,kdeg_UPS,kdeg_Ternary,alpha
6.0,0.0005,0.0,5.398608055045181,0.008743098417813974,0.03751588693761011,99.79629798477319,2.1594432220180728e-14,4.586366932019341e-17,3.4972393671255897e-17,1.5006354775044045e-16,4.8984171853571246e-15,ACBI1,9.26,36000.0,360,180,10,360,268.26957952797244
6.0,0.0005,0.0,4.604800262265536,0.007556482936636642,0.033243932436020654,99.82600570028549,1.8419201049062144e-14,3.4166164165879164e-17,3.022593174654657e-17,1.3297572974408262e-16,4.896257736337363e-15,ACBI1,9.26,36000.0,360,180,10,360,323.74575428176433
6.0,0.0005,0.0,3.9971442923882923,0.006632160781588189,0.02980340071658825,99.79867117408071,1.598857716955317e-14,2.5687343442090602e-17,2.6528643126352755e-17,1.19213602866353e-16,4.894299981132412e-15,ACBI1,9.26,36000.0,360,180,10,360,390.6939937054613
6.0,0.0005,0.0,3.529505316321823,0.0059105988188478936,0.027042425672925054,99.82010142156237,1.4118021265287292e-14,1.9506744358588377e-17,2.3642395275391577e-17,1.0816970269170023e-16,4.892572092972205e-15,ACBI1,9.26,36000.0,360,180,10,360,471.486636345739
6.0,0.0005,0.0,3.1672563451221056,0.0053450685601985,0.024828449735776605,99.80583815846997,1.2669025380488423e-14,1.496370634671453e-17,2.1380274240794002e-17,9.931379894310643e-17,4.891075224639181e-15,ACBI1,9.26,36000.0,360,180,10,360,568.9866029018293
6.0,0.0005,0.0,2.8846552639595036,0.0048996131660492106,0.023051200624672294,99.82795906322352,1.1538621055838015e-14,1.1591037770128158e-17,1.9598452664196842e-17,9.220480249868918e-17,4.889795263783792e-15,ACBI1,9.26,36000.0,360,180,10,360,686.6488450042998
6.0,0.0005,0.0,2.66261987606631,0.004546839459003149,0.021621454388101386,99.86553034694768,1.0650479504265241e-14,9.060355277320956e-18,1.8187357836012598e-17,8.648581755240555e-17,4.888710736757235e-15,ACBI1,9.26,36000.0,360,180,10,360,828.6427728546843
6.0,0.0005,0.0,2.4869802814214337,0.004265949902982645,0.020468133801044557,99.88825117063037,9.947921125685734e-15,7.140831349051428e-18,1.706379961193058e-17,8.187253520417822e-17,4.8877976949101526e-15,ACBI1,9.26,36000.0,360,180,10,360,1000.0
6.0,0.0005,0.0,55.33337878639736,0.00042547413943366856,0.0004273498314395206,99.0000000005389,2.2133351514558945e-13,3.418763895410709e-18,1.7018965577346744e-18,1.7093993257580823e-18,4.8725285266673236e-15,ACBI1,9.26,36000.0,360,180,100,360,0.1
6.0,0.0005,0.0,55.3333787573655,0.0005129936382235788,0.0005157228320442343,99.00000000159,2.2133351502946203e-13,4.125740282550956e-18,2.051974552894315e-18,2.0628913281769374e-18,4.872539963215493e-15,ACBI1,9.26,36000.0,360,180,100,360,0.12067926406393285
6.0,0.0005,0.0,55.33337869596423,0.0006184004805395362,0.0006223708099990227,99.00000000159058,2.2133351478385691e-13,4.978914466784285e-18,2.4736019221581447e-18,2.489483239996091e-18,4.872553764822727e-15,ACBI1,9.26,36000.0,360,180,100,360,0.14563484775012436
6.0,0.0005,0.0,55.33337856617757,0.0007452983419346266,0.0007510729372815411,99.0000000107111,2.213335142647103e-13,6.008518923729785e-18,2.9811933677385064e-18,3.0042917491261644e-18,4.8725704205921814e-15,ACBI1,9.26,36000.0,360,180,100,360,0.1757510624854792
