t,initial_BPD_ec_conc,initial_BPD_ic_conc,degradation,Ternary,all_Ternary,Dmax,total_target,total_target_ub,total_naked_ternary,total_ternary,total_bpd_ic,PROTAC,Kd_T_binary,kon_T_binary,kub,alpha
6.0,0.0005,0.0,0.89595758514899,0.0018710182603997093,0.49422884460327327,99.87187200225563,3.58383034059596e-15,3.787941541028769e-18,7.484073041598838e-18,1.9769153784130933e-15,7.818664303104586e-15,ACBI1,0.1,36000.0,360,572.236765935022
6.0,0.0005,0.0,0.8981214600240526,0.0018587832145365748,0.5008873837255946,99.91174068094662,3.59248584009621e-15,3.497721925559124e-18,7.4351328581463e-18,2.003549534902378e-15,7.853909785708952e-15,ACBI1,0.1,36000.0,360,628.029144183426
6.0,0.0005,0.0,0.9002031796562739,0.0018474140283218415,0.507102158999134,99.91177031178917,3.6008127186250964e-15,3.2263553905431834e-18,7.389656113287365e-18,2.028408635996536e-15,7.886501146854254e-15,ACBI1,0.1,36000.0,360,689.2612104349702
6.0,0.0005,0.0,0.9021940632076147,0.0018368649454128855,0.5128909044554567,99.91045468024242,3.608776252830459e-15,2.9731363625061244e-18,7.347459781651541e-18,2.0515636178218267e-15,7.916598620249933e-15,ACBI1,0.1,36000.0,360,756.463327554629
6.0,0.0005,0.0,0.9040883147200446,0.0018270903707370578,0.5182727080105505,99.91944555538963,3.616353258880179e-15,2.7373022125702978e-18,7.30836148294823e-18,2.0730908320422017e-15,7.944359733426605e-15,ACBI1,0.1,36000.0,360,830.2175681319752
6.0,0.0005,0.0,0.9058825362922844,0.0018180452281792298,0.5232675555351096,99.89497778005509,3.623530145169138e-15,2.5180493487167597e-18,7.27218091271692e-18,2.0930702221404386e-15,7.969937898364092e-15,ACBI1,0.1,36000.0,360,911.1627561154896
6.0,0.0005,0.0,0.9075752974338216,0.0018096852807766525,0.5278959392473569,99.91161722992591,3.630301189735286e-15,2.314547819671661e-18,7.23874112310661e-18,2.1115837569894275e-15,7.993481335598543e-15,ACBI1,0.1,36000.0,360,1000.0
6.0,0.0005,0.0,55.333119864988426,0.0038120219992932337,0.003958702470145323,99.00000192888893,2.2133247945995368e-13,3.166510547616745e-17,1.5248087997172936e-17,1.5834809880581296e-17,4.975628245070656e-15,ACBI1,1.0,36000.0,360,0.1
6.0,0.0005,0.0,55.33300850339886,0.004168626277976567,0.0043446697378135305,99.00001278545912,2.2133203401359547e-13,3.47509977391889e-17,1.6674505111906268e-17,1.7378678951254122e-17,4.9756786511520965e-15,ACBI1,1.0,36000.0,360,0.10974987654930562
6.0,0.0005,0.0,55.33284996316995,0.0045570515318661105,0.004768264937360163,99.00000251613213,2.2133139985267979e-13,3.813713688650635e-17,1.8228206127464444e-17,1.9073059749440654e-17,4.975733903760237e-15,ACBI1,1.0,36000.0,360,0.12045035402587821
