t,initial_BPD_ec_conc,initial_BPD_ic_conc,degradation,Ternary,all_Ternary,Dmax,total_target,total_target_ub,total_naked_ternary,total_ternary,total_bpd_ic,PROTAC,Kd_T_binary,kon_T_binary,kub,kde_ub,kdeg_UPS,kdeg_Ternary,alpha
6.0,0.0005,0.0,36.644741817051326,0.03843647231487872,0.08880305578327961,99.5993880023479,1.4657896726820532e-13,7.691653577983799e-16,1.537458892595149e-16,3.5521222313311846e-16,4.8916964515942934e-15,ACBI1,9.26,36000.0,360,100,360,360,33.93221771895326
6.0,0.0005,0.0,31.83363183490687,0.035870396899333426,0.0898259547497244,99.40687714200836,1.273345273396275e-13,6.936439026661329e-16,1.434815875973337e-16,3.593038189988976e-16,4.895137512770271e-15,ACBI1,9.26,36000.0,360,100,360,360,40.94915062380423
6.0,0.0005,0.0,26.99486972747015,0.03241609535306027,0.08776096610678082,99.75612348839887,1.079794789098806e-13,5.973080467764747e-16,1.2966438141224107e-16,3.5104386442712327e-16,4.8983816659026535e-15,ACBI1,9.26,36000.0,360,100,360,360,49.417133613238335
6.0,0.0005,0.0,22.42142466123827,0.028474558219070627,0.08301390272454363,99.74271250391337,8.968569864495309e-14,4.929438765328234e-16,1.1389823287628252e-16,3.320556108981745e-16,4.901037135935789e-15,ACBI1,9.26,36000.0,360,100,360,360,59.63623316594643
6.0,0.0005,0.0,18.332483595476646,0.02444706122838291,0.07636274401259192,99.74245465131023,7.332993438190659e-14,3.9215564928532613e-16,9.778824491353165e-17,3.054509760503677e-16,4.902799101156185e-15,ACBI1,9.26,36000.0,360,100,360,360,71.96856730011514
6.0,0.0005,0.0,14.845820455956535,0.02065217561323147,0.06871916423997733,99.60468070366147,5.938328182382614e-14,3.0292778151351334e-16,8.260870245292588e-17,2.7487665695990934e-16,4.9035368497105075e-15,ACBI1,9.26,36000.0,360,100,360,360,86.85113737513521
6.0,0.0005,0.0,11.98412661608369,0.01728787887178853,0.0609041068529733,99.1446764228315,4.793650646433476e-14,2.2901878675212426e-16,6.915151548715411e-17,2.436164274118932e-16,4.903307552741575e-15,ACBI1,9.26,36000.0,360,100,360,360,104.81131341546853
6.0,0.0005,0.0,9.702240447372633,0.014437182820808674,0.05351620637778249,99.80005574903194,3.8808961789490535e-14,1.7077124985616177e-16,5.774873128323469e-17,2.1406482551112994e-16,4.902304275679985e-15,ACBI1,9.26,36000.0,360,100,360,360,126.48552168552958
6.0,0.0005,0.0,7.918957211803759,0.012098604200710511,0.04690436102672138,99.69456362660748,3.167582884721504e-14,1.264694829719481e-16,4.839441680284205e-17,1.8761744410688553e-16,4.900777688501735e-15,ACBI1,9.26,36000.0,360,100,360,360,152.6417967175232
6.0,0.0005,0.0,6.542600662254139,0.010221660247380802,0.041209457405711344,99.84864822683704,2.6170402649016554e-14,9.355869944854119e-17,4.088664098952321e-17,1.6483782962284538e-16,4.898969319828996e-15,ACBI1,9.26,36000.0,360,100,360,360,184.20699693267144
6.0,0.0005,0.0,5.486849162598728,0.008735493567331202,0.03643134140231074,99.8486992988794,2.194739665039491e-14,6.944256171072289e-17,3.4941974269324806e-17,1.4572536560924297e-16,4.8970734605132565e-15,ACBI1,9.26,36000.0,360,100,360,360,222.29964825261933
6.0,0.0005,0.0,4.678081721780647,0.007567151428714343,0.03249111614388231,99.83208986154253,1.871232688712259e-14,5.187461939687474e-17,3.026860571485737e-17,1.2996446457552924e-16,4.895225865609229e-15,ACBI1,9.26,36000.0,360,100,360,360,268.26957952797244
6.0,0.0005,0.0,4.057155139964143,0.006650961670092593,0.029276495488690216,99.15996387763913,1.6228620559856572e-14,3.907618681499607e-17,2.660384668037037e-17,1.1710598195476087e-16,4.893509160210169e-15,ACBI1,9.26,36000.0,360,100,360,360,323.74575428176433
6.0,0.0005,0.0,3.578275418831144,0.00593197610532489,0.026669585215370183,99.73321527017582,1.4313101675324577e-14,2.9711709708638607e-17,2.372790442129956e-17,1.0667834086148075e-16,4.891965121826269e-15,ACBI1,9.26,36000.0,360,100,360,360,390.6939937054613
6.0,0.0005,0.0,3.2067522065272596,0.0053661449057195885,0.024561291869523064,99.85406763523595,1.2827008826109038e-14,2.2809758815319607e-17,2.1464579622878354e-17,9.824516747809227e-17,4.890607571423975e-15,ACBI1,9.26,36000.0,360,100,360,360,471.486636345739
6.0,0.0005,0.0,2.9166111848183234,0.004919026677531213,0.02285719182459634,99.59512444113105,1.1666444739273294e-14,1.767631093767894e-17,1.9676106710124855e-17,9.142876729838536e-17,4.889433026012809e-15,ACBI1,9.26,36000.0,360,100,360,360,568.9866029018293
6.0,0.0005,0.0,2.6884924097240086,0.004564058106381136,0.021478643147749926,99.80467872435945,1.0753969638896035e-14,1.3819702784238282e-17,1.8256232425524542e-17,8.59145725909997e-17,4.8884284244161174e-15,ACBI1,9.26,36000.0,360,100,360,360,686.6488450042998
6.0,0.0005,0.0,2.507960266168061,0.00428087789260838,0.020361605844278888,99.86448929479499,1.0031841064672244e-14,1.0892267004285707e-17,1.7123511570433523e-17,8.144642337711556e-17,4.8875762503732136e-15,ACBI1,9.26,36000.0,360,100,360,360,828.6427728546843
6.0,0.0005,0.0,2.3642103091347995,0.0040538965803492135,0.01945458981063879,99.86992952099394,9.456841236539197e-15,8.647471207057879e-18,1.6215586321396856e-17,7.781835924255517e-17,4.886857687450235e-15,ACBI1,9.26,36000.0,360,100,360,360,1000.0
6.0,0.0005,0.0,55.33337878216085,0.00042547834554301225,0.00042734983140681074,99.00000000075948,2.2133351512864338e-13,1.2307628712879122e-18,1.701913382172049e-18,1.709399325627243e-18,4.8725285266664495e-15,ACBI1,9.26,36000.0,360,500,360,360,0.1
6.0,0.0005,0.0,55.333378748423215,0.0005129997582276268,0.0005157228319609153,99.00000000168937,2.2133351499369286e-13,1.4852759834983839e-18,2.0519990329105074e-18,2.0628913278436613e-18,4.872539963213635e-15,ACBI1,9.26,36000.0,360,500,360,360,0.12067926406393285
